MTU (CET/CEST),FC_Solar,Act_Solar,Day_Ahead_Price
21.06.2021 19:00 - 21.06.2021 19:15,5422,5682,
21.06.2021 19:15 - 21.06.2021 19:30,4307,4444,
21.06.2021 19:30 - 21.06.2021 19:45,3424,3438,
21.06.2021 19:45 - 21.06.2021 20:00,2754,2633,
21.06.2021 20:00 - 21.06.2021 20:15,2148,1982,
21.06.2021 20:15 - 21.06.2021 20:30,1589,1381,
21.06.2021 20:30 - 21.06.2021 20:45,1115,881,
21.06.2021 20:45 - 21.06.2021 21:00,723,510,
21.06.2021 21:00 - 21.06.2021 21:15,420,247,
21.06.2021 21:15 - 21.06.2021 21:30,210,79,
21.06.2021 21:30 - 21.06.2021 21:45,25,16,
21.06.2021 21:45 - 21.06.2021 22:00,1,5,
21.06.2021 22:00 - 21.06.2021 22:15,0,1,
21.06.2021 22:15 - 21.06.2021 22:30,0,0,
21.06.2021 22:30 - 21.06.2021 22:45,0,0,
21.06.2021 22:45 - 21.06.2021 23:00,0,0,
21.06.2021 23:00 - 21.06.2021 23:15,0,0,
21.06.2021 23:15 - 21.06.2021 23:30,0,0,
21.06.2021 23:30 - 21.06.2021 23:45,0,0,
21.06.2021 23:45 - 22.06.2021 00:00,0,0,
22.06.2021 00:00 - 22.06.2021 00:15,0,0,
22.06.2021 00:15 - 22.06.2021 00:30,0,0,
22.06.2021 00:30 - 22.06.2021 00:45,0,0,
22.06.2021 00:45 - 22.06.2021 01:00,0,0,
22.06.2021 01:00 - 22.06.2021 01:15,0,0,
22.06.2021 01:15 - 22.06.2021 01:30,0,0,
22.06.2021 01:30 - 22.06.2021 01:45,0,0,
22.06.2021 01:45 - 22.06.2021 02:00,0,0,
22.06.2021 02:00 - 22.06.2021 02:15,0,0,
22.06.2021 02:15 - 22.06.2021 02:30,0,0,
22.06.2021 02:30 - 22.06.2021 02:45,0,0,
22.06.2021 02:45 - 22.06.2021 03:00,0,0,
22.06.2021 03:00 - 22.06.2021 03:15,0,0,
22.06.2021 03:15 - 22.06.2021 03:30,0,0,
22.06.2021 03:30 - 22.06.2021 03:45,0,0,
22.06.2021 03:45 - 22.06.2021 04:00,0,0,
22.06.2021 04:00 - 22.06.2021 04:15,0,0,
22.06.2021 04:15 - 22.06.2021 04:30,0,0,
22.06.2021 04:30 - 22.06.2021 04:45,0,2,
22.06.2021 04:45 - 22.06.2021 05:00,13,13,
22.06.2021 05:00 - 22.06.2021 05:15,88,102,
22.06.2021 05:15 - 22.06.2021 05:30,249,170,
22.06.2021 05:30 - 22.06.2021 05:45,449,248,
22.06.2021 05:45 - 22.06.2021 06:00,753,531,
22.06.2021 06:00 - 22.06.2021 06:15,1146,953,
22.06.2021 06:15 - 22.06.2021 06:30,1647,1481,
22.06.2021 06:30 - 22.06.2021 06:45,2247,2067,
22.06.2021 06:45 - 22.06.2021 07:00,2951,2736,
22.06.2021 07:00 - 22.06.2021 07:15,3751,3444,
22.06.2021 07:15 - 22.06.2021 07:30,4636,4283,
22.06.2021 07:30 - 22.06.2021 07:45,5597,5211,
22.06.2021 07:45 - 22.06.2021 08:00,6639,6255,
22.06.2021 08:00 - 22.06.2021 08:15,7733,7286,
22.06.2021 08:15 - 22.06.2021 08:30,8839,8292,
22.06.2021 08:30 - 22.06.2021 08:45,9897,9374,
22.06.2021 08:45 - 22.06.2021 09:00,10969,10462,
22.06.2021 09:00 - 22.06.2021 09:15,12024,11595,
22.06.2021 09:15 - 22.06.2021 09:30,12944,12657,
22.06.2021 09:30 - 22.06.2021 09:45,13908,13486,
22.06.2021 09:45 - 22.06.2021 10:00,14796,14145,
22.06.2021 10:00 - 22.06.2021 10:15,15645,14910,
22.06.2021 10:15 - 22.06.2021 10:30,16427,15405,
22.06.2021 10:30 - 22.06.2021 10:45,17153,15867,
22.06.2021 10:45 - 22.06.2021 11:00,17765,16447,
22.06.2021 11:00 - 22.06.2021 11:15,18322,16962,
22.06.2021 11:15 - 22.06.2021 11:30,18801,17371,
22.06.2021 11:30 - 22.06.2021 11:45,19237,17879,
22.06.2021 11:45 - 22.06.2021 12:00,19588,18407,
22.06.2021 12:00 - 22.06.2021 12:15,19871,18476,
22.06.2021 12:15 - 22.06.2021 12:30,20068,18738,
22.06.2021 12:30 - 22.06.2021 12:45,20205,18796,
22.06.2021 12:45 - 22.06.2021 13:00,20274,19001,
22.06.2021 13:00 - 22.06.2021 13:15,20298,19078,
22.06.2021 13:15 - 22.06.2021 13:30,20184,19183,
22.06.2021 13:30 - 22.06.2021 13:45,20057,19092,
22.06.2021 13:45 - 22.06.2021 14:00,19877,19043,
22.06.2021 14:00 - 22.06.2021 14:15,19606,18787,
22.06.2021 14:15 - 22.06.2021 14:30,19373,18488,
22.06.2021 14:30 - 22.06.2021 14:45,19000,18102,
22.06.2021 14:45 - 22.06.2021 15:00,18599,17879,
22.06.2021 15:00 - 22.06.2021 15:15,18153,17590,
22.06.2021 15:15 - 22.06.2021 15:30,17657,17198,
22.06.2021 15:30 - 22.06.2021 15:45,17067,16842,
22.06.2021 15:45 - 22.06.2021 16:00,16403,16146,
22.06.2021 16:00 - 22.06.2021 16:15,15739,15518,
22.06.2021 16:15 - 22.06.2021 16:30,14976,14643,
22.06.2021 16:30 - 22.06.2021 16:45,14173,13898,
22.06.2021 16:45 - 22.06.2021 17:00,13299,12910,
22.06.2021 17:00 - 22.06.2021 17:15,12411,12162,
22.06.2021 17:15 - 22.06.2021 17:30,11443,11077,
22.06.2021 17:30 - 22.06.2021 17:45,10459,10340,
22.06.2021 17:45 - 22.06.2021 18:00,9360,9874,
22.06.2021 18:00 - 22.06.2021 18:15,8260,9049,
22.06.2021 18:15 - 22.06.2021 18:30,7263,8042,
22.06.2021 18:30 - 22.06.2021 18:45,6334,7053,
22.06.2021 18:45 - 22.06.2021 19:00,5420,6086,
22.06.2021 19:00 - 22.06.2021 19:15,4556,5145,
22.06.2021 19:15 - 22.06.2021 19:30,3750,4223,
22.06.2021 19:30 - 22.06.2021 19:45,3067,3383,
22.06.2021 19:45 - 22.06.2021 20:00,2465,2690,
22.06.2021 20:00 - 22.06.2021 20:15,1933,2053,
22.06.2021 20:15 - 22.06.2021 20:30,1428,1477,
22.06.2021 20:30 - 22.06.2021 20:45,1025,974,
22.06.2021 20:45 - 22.06.2021 21:00,666,582,
22.06.2021 21:00 - 22.06.2021 21:15,400,301,
22.06.2021 21:15 - 22.06.2021 21:30,220,110,
22.06.2021 21:30 - 22.06.2021 21:45,33,30,
22.06.2021 21:45 - 22.06.2021 22:00,3,8,
22.06.2021 22:00 - 22.06.2021 22:15,0,0,
22.06.2021 22:15 - 22.06.2021 22:30,0,0,
22.06.2021 22:30 - 22.06.2021 22:45,0,0,
22.06.2021 22:45 - 22.06.2021 23:00,0,0,
22.06.2021 23:00 - 22.06.2021 23:15,0,0,
22.06.2021 23:15 - 22.06.2021 23:30,0,0,
22.06.2021 23:30 - 22.06.2021 23:45,0,0,
22.06.2021 23:45 - 23.06.2021 00:00,0,0,
23.06.2021 00:00 - 23.06.2021 00:15,0,0,
23.06.2021 00:15 - 23.06.2021 00:30,0,0,
23.06.2021 00:30 - 23.06.2021 00:45,0,0,
23.06.2021 00:45 - 23.06.2021 01:00,0,0,
23.06.2021 01:00 - 23.06.2021 01:15,0,0,
23.06.2021 01:15 - 23.06.2021 01:30,0,0,
23.06.2021 01:30 - 23.06.2021 01:45,0,0,
23.06.2021 01:45 - 23.06.2021 02:00,0,0,
23.06.2021 02:00 - 23.06.2021 02:15,0,0,
23.06.2021 02:15 - 23.06.2021 02:30,0,0,
23.06.2021 02:30 - 23.06.2021 02:45,0,0,
23.06.2021 02:45 - 23.06.2021 03:00,0,0,
23.06.2021 03:00 - 23.06.2021 03:15,0,0,
23.06.2021 03:15 - 23.06.2021 03:30,0,0,
23.06.2021 03:30 - 23.06.2021 03:45,0,0,
23.06.2021 03:45 - 23.06.2021 04:00,0,0,
23.06.2021 04:00 - 23.06.2021 04:15,0,0,
23.06.2021 04:15 - 23.06.2021 04:30,0,0,
23.06.2021 04:30 - 23.06.2021 04:45,0,2,
23.06.2021 04:45 - 23.06.2021 05:00,10,16,
23.06.2021 05:00 - 23.06.2021 05:15,82,128,
23.06.2021 05:15 - 23.06.2021 05:30,228,259,
23.06.2021 05:30 - 23.06.2021 05:45,379,323,
23.06.2021 05:45 - 23.06.2021 06:00,615,523,
23.06.2021 06:00 - 23.06.2021 06:15,967,895,
23.06.2021 06:15 - 23.06.2021 06:30,1459,1393,
23.06.2021 06:30 - 23.06.2021 06:45,2050,2012,
23.06.2021 06:45 - 23.06.2021 07:00,2744,2706,
23.06.2021 07:00 - 23.06.2021 07:15,3519,3457,
23.06.2021 07:15 - 23.06.2021 07:30,4436,4337,
23.06.2021 07:30 - 23.06.2021 07:45,5447,5320,
23.06.2021 07:45 - 23.06.2021 08:00,6481,6310,
23.06.2021 08:00 - 23.06.2021 08:15,7548,7378,
23.06.2021 08:15 - 23.06.2021 08:30,8658,8314,
23.06.2021 08:30 - 23.06.2021 08:45,9766,9333,
23.06.2021 08:45 - 23.06.2021 09:00,10931,10400,
23.06.2021 09:00 - 23.06.2021 09:15,12046,11307,
23.06.2021 09:15 - 23.06.2021 09:30,13091,12413,
23.06.2021 09:30 - 23.06.2021 09:45,14183,13339,
23.06.2021 09:45 - 23.06.2021 10:00,15221,14231,
23.06.2021 10:00 - 23.06.2021 10:15,16281,15081,
23.06.2021 10:15 - 23.06.2021 10:30,17256,16115,
23.06.2021 10:30 - 23.06.2021 10:45,18213,17007,
23.06.2021 10:45 - 23.06.2021 11:00,19097,17727,
23.06.2021 11:00 - 23.06.2021 11:15,19877,18315,
23.06.2021 11:15 - 23.06.2021 11:30,20598,18916,
23.06.2021 11:30 - 23.06.2021 11:45,21245,19589,
23.06.2021 11:45 - 23.06.2021 12:00,21827,20054,
23.06.2021 12:00 - 23.06.2021 12:15,22348,20412,
23.06.2021 12:15 - 23.06.2021 12:30,22789,20984,
23.06.2021 12:30 - 23.06.2021 12:45,23175,21426,
23.06.2021 12:45 - 23.06.2021 13:00,23459,21635,
23.06.2021 13:00 - 23.06.2021 13:15,23631,21847,
23.06.2021 13:15 - 23.06.2021 13:30,23752,22063,
23.06.2021 13:30 - 23.06.2021 13:45,23819,22021,
23.06.2021 13:45 - 23.06.2021 14:00,23783,21936,
23.06.2021 14:00 - 23.06.2021 14:15,23655,21967,
23.06.2021 14:15 - 23.06.2021 14:30,23434,21757,
23.06.2021 14:30 - 23.06.2021 14:45,23163,21583,
23.06.2021 14:45 - 23.06.2021 15:00,22658,21247,
23.06.2021 15:00 - 23.06.2021 15:15,22103,20815,
23.06.2021 15:15 - 23.06.2021 15:30,21503,20263,
23.06.2021 15:30 - 23.06.2021 15:45,20810,19919,
23.06.2021 15:45 - 23.06.2021 16:00,20026,19266,
23.06.2021 16:00 - 23.06.2021 16:15,19151,18613,
23.06.2021 16:15 - 23.06.2021 16:30,18223,17667,
23.06.2021 16:30 - 23.06.2021 16:45,17206,16818,
23.06.2021 16:45 - 23.06.2021 17:00,16133,15994,
23.06.2021 17:00 - 23.06.2021 17:15,15010,14809,
23.06.2021 17:15 - 23.06.2021 17:30,13795,13727,
23.06.2021 17:30 - 23.06.2021 17:45,12578,12665,
23.06.2021 17:45 - 23.06.2021 18:00,11321,11481,
23.06.2021 18:00 - 23.06.2021 18:15,10060,10161,
23.06.2021 18:15 - 23.06.2021 18:30,8833,8857,
23.06.2021 18:30 - 23.06.2021 18:45,7616,7487,
23.06.2021 18:45 - 23.06.2021 19:00,6431,6112,
23.06.2021 19:00 - 23.06.2021 19:15,5321,4996,
23.06.2021 19:15 - 23.06.2021 19:30,4326,3973,
23.06.2021 19:30 - 23.06.2021 19:45,3456,3127,
23.06.2021 19:45 - 23.06.2021 20:00,2725,2438,
23.06.2021 20:00 - 23.06.2021 20:15,2112,1840,
23.06.2021 20:15 - 23.06.2021 20:30,1543,1316,
23.06.2021 20:30 - 23.06.2021 20:45,1049,880,
23.06.2021 20:45 - 23.06.2021 21:00,651,556,
23.06.2021 21:00 - 23.06.2021 21:15,387,342,
23.06.2021 21:15 - 23.06.2021 21:30,212,130,
23.06.2021 21:30 - 23.06.2021 21:45,36,33,
23.06.2021 21:45 - 23.06.2021 22:00,3,5,
23.06.2021 22:00 - 23.06.2021 22:15,0,0,
23.06.2021 22:15 - 23.06.2021 22:30,0,0,
23.06.2021 22:30 - 23.06.2021 22:45,0,0,
23.06.2021 22:45 - 23.06.2021 23:00,0,0,
23.06.2021 23:00 - 23.06.2021 23:15,0,0,
23.06.2021 23:15 - 23.06.2021 23:30,0,0,
23.06.2021 23:30 - 23.06.2021 23:45,0,0,
23.06.2021 23:45 - 24.06.2021 00:00,0,0,
24.06.2021 00:00 - 24.06.2021 00:15,0,0,
24.06.2021 00:15 - 24.06.2021 00:30,0,0,
24.06.2021 00:30 - 24.06.2021 00:45,0,0,
24.06.2021 00:45 - 24.06.2021 01:00,0,0,
24.06.2021 01:00 - 24.06.2021 01:15,0,0,
24.06.2021 01:15 - 24.06.2021 01:30,0,0,
24.06.2021 01:30 - 24.06.2021 01:45,0,0,
24.06.2021 01:45 - 24.06.2021 02:00,0,0,
24.06.2021 02:00 - 24.06.2021 02:15,0,0,
24.06.2021 02:15 - 24.06.2021 02:30,0,0,
24.06.2021 02:30 - 24.06.2021 02:45,0,0,
24.06.2021 02:45 - 24.06.2021 03:00,0,0,
24.06.2021 03:00 - 24.06.2021 03:15,0,0,
24.06.2021 03:15 - 24.06.2021 03:30,0,0,
24.06.2021 03:30 - 24.06.2021 03:45,0,0,
24.06.2021 03:45 - 24.06.2021 04:00,0,0,
24.06.2021 04:00 - 24.06.2021 04:15,0,0,
24.06.2021 04:15 - 24.06.2021 04:30,0,0,
24.06.2021 04:30 - 24.06.2021 04:45,0,1,
24.06.2021 04:45 - 24.06.2021 05:00,13,14,
24.06.2021 05:00 - 24.06.2021 05:15,93,90,
24.06.2021 05:15 - 24.06.2021 05:30,248,158,
24.06.2021 05:30 - 24.06.2021 05:45,420,259,
24.06.2021 05:45 - 24.06.2021 06:00,685,500,
24.06.2021 06:00 - 24.06.2021 06:15,1045,859,
24.06.2021 06:15 - 24.06.2021 06:30,1491,1316,
24.06.2021 06:30 - 24.06.2021 06:45,2048,1870,
24.06.2021 06:45 - 24.06.2021 07:00,2703,2507,
24.06.2021 07:00 - 24.06.2021 07:15,3431,3196,
24.06.2021 07:15 - 24.06.2021 07:30,4241,3960,
24.06.2021 07:30 - 24.06.2021 07:45,5093,4753,
24.06.2021 07:45 - 24.06.2021 08:00,5991,5633,
24.06.2021 08:00 - 24.06.2021 08:15,6916,6541,
24.06.2021 08:15 - 24.06.2021 08:30,7881,7515,
24.06.2021 08:30 - 24.06.2021 08:45,8871,8639,
24.06.2021 08:45 - 24.06.2021 09:00,9845,9659,
24.06.2021 09:00 - 24.06.2021 09:15,10785,10564,
24.06.2021 09:15 - 24.06.2021 09:30,11772,11569,
24.06.2021 09:30 - 24.06.2021 09:45,12660,12407,
24.06.2021 09:45 - 24.06.2021 10:00,13513,13286,
24.06.2021 10:00 - 24.06.2021 10:15,14293,13977,
24.06.2021 10:15 - 24.06.2021 10:30,15041,14490,
24.06.2021 10:30 - 24.06.2021 10:45,15740,15103,
24.06.2021 10:45 - 24.06.2021 11:00,16342,15768,
24.06.2021 11:00 - 24.06.2021 11:15,16889,16390,
24.06.2021 11:15 - 24.06.2021 11:30,17378,16999,
24.06.2021 11:30 - 24.06.2021 11:45,17799,17400,
24.06.2021 11:45 - 24.06.2021 12:00,18139,17806,
24.06.2021 12:00 - 24.06.2021 12:15,18433,17961,
24.06.2021 12:15 - 24.06.2021 12:30,18669,18393,
24.06.2021 12:30 - 24.06.2021 12:45,18843,18785,
24.06.2021 12:45 - 24.06.2021 13:00,18912,19245,
24.06.2021 13:00 - 24.06.2021 13:15,18910,19280,
24.06.2021 13:15 - 24.06.2021 13:30,18792,19309,
24.06.2021 13:30 - 24.06.2021 13:45,18608,19014,
24.06.2021 13:45 - 24.06.2021 14:00,18428,18814,
24.06.2021 14:00 - 24.06.2021 14:15,18191,18442,
24.06.2021 14:15 - 24.06.2021 14:30,17922,17927,
24.06.2021 14:30 - 24.06.2021 14:45,17503,17520,
24.06.2021 14:45 - 24.06.2021 15:00,17066,17257,
24.06.2021 15:00 - 24.06.2021 15:15,16562,16893,
24.06.2021 15:15 - 24.06.2021 15:30,16029,16363,
24.06.2021 15:30 - 24.06.2021 15:45,15428,15839,
24.06.2021 15:45 - 24.06.2021 16:00,14733,15394,
24.06.2021 16:00 - 24.06.2021 16:15,14038,14616,
24.06.2021 16:15 - 24.06.2021 16:30,13318,13940,
24.06.2021 16:30 - 24.06.2021 16:45,12569,12916,
24.06.2021 16:45 - 24.06.2021 17:00,11802,11825,
24.06.2021 17:00 - 24.06.2021 17:15,10953,10703,
24.06.2021 17:15 - 24.06.2021 17:30,10063,9818,
24.06.2021 17:30 - 24.06.2021 17:45,9129,8867,
24.06.2021 17:45 - 24.06.2021 18:00,8219,7910,
24.06.2021 18:00 - 24.06.2021 18:15,7327,7128,
24.06.2021 18:15 - 24.06.2021 18:30,6470,6297,
24.06.2021 18:30 - 24.06.2021 18:45,5637,5384,
24.06.2021 18:45 - 24.06.2021 19:00,4874,4595,
24.06.2021 19:00 - 24.06.2021 19:15,4111,3929,
24.06.2021 19:15 - 24.06.2021 19:30,3388,3289,
24.06.2021 19:30 - 24.06.2021 19:45,2756,2788,
24.06.2021 19:45 - 24.06.2021 20:00,2174,2281,
24.06.2021 20:00 - 24.06.2021 20:15,1669,1785,
24.06.2021 20:15 - 24.06.2021 20:30,1218,1336,
24.06.2021 20:30 - 24.06.2021 20:45,845,921,
24.06.2021 20:45 - 24.06.2021 21:00,546,594,
24.06.2021 21:00 - 24.06.2021 21:15,326,342,
24.06.2021 21:15 - 24.06.2021 21:30,192,136,
24.06.2021 21:30 - 24.06.2021 21:45,33,49,
24.06.2021 21:45 - 24.06.2021 22:00,4,12,
24.06.2021 22:00 - 24.06.2021 22:15,0,0,
24.06.2021 22:15 - 24.06.2021 22:30,0,0,
24.06.2021 22:30 - 24.06.2021 22:45,0,0,
24.06.2021 22:45 - 24.06.2021 23:00,0,0,
24.06.2021 23:00 - 24.06.2021 23:15,0,0,
24.06.2021 23:15 - 24.06.2021 23:30,0,0,
24.06.2021 23:30 - 24.06.2021 23:45,0,0,
24.06.2021 23:45 - 25.06.2021 00:00,0,0,
25.06.2021 00:00 - 25.06.2021 00:15,0,0,
25.06.2021 00:15 - 25.06.2021 00:30,0,0,
25.06.2021 00:30 - 25.06.2021 00:45,0,0,
25.06.2021 00:45 - 25.06.2021 01:00,0,0,
25.06.2021 01:00 - 25.06.2021 01:15,0,0,
25.06.2021 01:15 - 25.06.2021 01:30,0,0,
25.06.2021 01:30 - 25.06.2021 01:45,0,0,
25.06.2021 01:45 - 25.06.2021 02:00,0,0,
25.06.2021 02:00 - 25.06.2021 02:15,0,0,
25.06.2021 02:15 - 25.06.2021 02:30,0,0,
25.06.2021 02:30 - 25.06.2021 02:45,0,0,
25.06.2021 02:45 - 25.06.2021 03:00,0,0,
25.06.2021 03:00 - 25.06.2021 03:15,0,0,
25.06.2021 03:15 - 25.06.2021 03:30,0,0,
25.06.2021 03:30 - 25.06.2021 03:45,0,0,
25.06.2021 03:45 - 25.06.2021 04:00,0,0,
25.06.2021 04:00 - 25.06.2021 04:15,0,0,
25.06.2021 04:15 - 25.06.2021 04:30,0,0,
25.06.2021 04:30 - 25.06.2021 04:45,0,2,
25.06.2021 04:45 - 25.06.2021 05:00,8,12,
25.06.2021 05:00 - 25.06.2021 05:15,55,82,
25.06.2021 05:15 - 25.06.2021 05:30,171,207,
25.06.2021 05:30 - 25.06.2021 05:45,293,297,
25.06.2021 05:45 - 25.06.2021 06:00,497,521,
25.06.2021 06:00 - 25.06.2021 06:15,780,895,
25.06.2021 06:15 - 25.06.2021 06:30,1152,1396,
25.06.2021 06:30 - 25.06.2021 06:45,1619,1983,
25.06.2021 06:45 - 25.06.2021 07:00,2168,2659,
25.06.2021 07:00 - 25.06.2021 07:15,2815,3394,
25.06.2021 07:15 - 25.06.2021 07:30,3559,4198,
25.06.2021 07:30 - 25.06.2021 07:45,4413,5041,
25.06.2021 07:45 - 25.06.2021 08:00,5300,6025,
25.06.2021 08:00 - 25.06.2021 08:15,6235,7090,
25.06.2021 08:15 - 25.06.2021 08:30,7245,8125,
25.06.2021 08:30 - 25.06.2021 08:45,8232,9184,
25.06.2021 08:45 - 25.06.2021 09:00,9208,10271,
25.06.2021 09:00 - 25.06.2021 09:15,10193,11256,
25.06.2021 09:15 - 25.06.2021 09:30,11173,12247,
25.06.2021 09:30 - 25.06.2021 09:45,12134,13366,
25.06.2021 09:45 - 25.06.2021 10:00,13089,14349,
25.06.2021 10:00 - 25.06.2021 10:15,14022,15320,
25.06.2021 10:15 - 25.06.2021 10:30,14943,16178,
25.06.2021 10:30 - 25.06.2021 10:45,15816,17059,
25.06.2021 10:45 - 25.06.2021 11:00,16657,17593,
25.06.2021 11:00 - 25.06.2021 11:15,17430,18306,
25.06.2021 11:15 - 25.06.2021 11:30,18150,18850,
25.06.2021 11:30 - 25.06.2021 11:45,18789,19570,
25.06.2021 11:45 - 25.06.2021 12:00,19424,20190,
25.06.2021 12:00 - 25.06.2021 12:15,19941,20684,
25.06.2021 12:15 - 25.06.2021 12:30,20418,21272,
25.06.2021 12:30 - 25.06.2021 12:45,20828,21866,
25.06.2021 12:45 - 25.06.2021 13:00,21170,22279,
25.06.2021 13:00 - 25.06.2021 13:15,21409,22502,
25.06.2021 13:15 - 25.06.2021 13:30,21592,22556,
25.06.2021 13:30 - 25.06.2021 13:45,21701,22382,
25.06.2021 13:45 - 25.06.2021 14:00,21737,22280,
25.06.2021 14:00 - 25.06.2021 14:15,21684,22057,
25.06.2021 14:15 - 25.06.2021 14:30,21571,21677,
25.06.2021 14:30 - 25.06.2021 14:45,21427,21264,
25.06.2021 14:45 - 25.06.2021 15:00,21135,20749,
25.06.2021 15:00 - 25.06.2021 15:15,20740,20323,
25.06.2021 15:15 - 25.06.2021 15:30,20282,19610,
25.06.2021 15:30 - 25.06.2021 15:45,19702,19042,
25.06.2021 15:45 - 25.06.2021 16:00,19057,18507,
25.06.2021 16:00 - 25.06.2021 16:15,18355,17817,
25.06.2021 16:15 - 25.06.2021 16:30,17614,16917,
25.06.2021 16:30 - 25.06.2021 16:45,16782,16235,
25.06.2021 16:45 - 25.06.2021 17:00,15891,15295,
25.06.2021 17:00 - 25.06.2021 17:15,14941,14382,
25.06.2021 17:15 - 25.06.2021 17:30,13944,13328,
25.06.2021 17:30 - 25.06.2021 17:45,12976,12543,
25.06.2021 17:45 - 25.06.2021 18:00,11905,11521,
25.06.2021 18:00 - 25.06.2021 18:15,10733,10485,
25.06.2021 18:15 - 25.06.2021 18:30,9548,9539,
25.06.2021 18:30 - 25.06.2021 18:45,8327,8530,
25.06.2021 18:45 - 25.06.2021 19:00,7152,7370,
25.06.2021 19:00 - 25.06.2021 19:15,5999,6205,
25.06.2021 19:15 - 25.06.2021 19:30,4913,5099,
25.06.2021 19:30 - 25.06.2021 19:45,3945,4107,
25.06.2021 19:45 - 25.06.2021 20:00,3126,3245,
25.06.2021 20:00 - 25.06.2021 20:15,2432,2483,
25.06.2021 20:15 - 25.06.2021 20:30,1810,1789,
25.06.2021 20:30 - 25.06.2021 20:45,1255,1170,
25.06.2021 20:45 - 25.06.2021 21:00,802,695,
25.06.2021 21:00 - 25.06.2021 21:15,484,369,
25.06.2021 21:15 - 25.06.2021 21:30,276,135,
25.06.2021 21:30 - 25.06.2021 21:45,42,27,
25.06.2021 21:45 - 25.06.2021 22:00,4,4,
25.06.2021 22:00 - 25.06.2021 22:15,0,0,
25.06.2021 22:15 - 25.06.2021 22:30,0,0,
25.06.2021 22:30 - 25.06.2021 22:45,0,0,
25.06.2021 22:45 - 25.06.2021 23:00,0,0,
25.06.2021 23:00 - 25.06.2021 23:15,0,0,
25.06.2021 23:15 - 25.06.2021 23:30,0,0,
25.06.2021 23:30 - 25.06.2021 23:45,0,0,
25.06.2021 23:45 - 26.06.2021 00:00,0,0,
26.06.2021 00:00 - 26.06.2021 00:15,0,0,
26.06.2021 00:15 - 26.06.2021 00:30,0,0,
26.06.2021 00:30 - 26.06.2021 00:45,0,0,
26.06.2021 00:45 - 26.06.2021 01:00,0,0,
26.06.2021 01:00 - 26.06.2021 01:15,0,0,
26.06.2021 01:15 - 26.06.2021 01:30,0,0,
26.06.2021 01:30 - 26.06.2021 01:45,0,0,
26.06.2021 01:45 - 26.06.2021 02:00,0,0,
26.06.2021 02:00 - 26.06.2021 02:15,0,0,
26.06.2021 02:15 - 26.06.2021 02:30,0,0,
26.06.2021 02:30 - 26.06.2021 02:45,0,0,
26.06.2021 02:45 - 26.06.2021 03:00,0,0,
26.06.2021 03:00 - 26.06.2021 03:15,0,0,
26.06.2021 03:15 - 26.06.2021 03:30,0,0,
26.06.2021 03:30 - 26.06.2021 03:45,0,0,
26.06.2021 03:45 - 26.06.2021 04:00,0,0,
26.06.2021 04:00 - 26.06.2021 04:15,0,0,
26.06.2021 04:15 - 26.06.2021 04:30,0,0,
26.06.2021 04:30 - 26.06.2021 04:45,0,2,
26.06.2021 04:45 - 26.06.2021 05:00,13,15,
26.06.2021 05:00 - 26.06.2021 05:15,93,87,
26.06.2021 05:15 - 26.06.2021 05:30,259,202,
26.06.2021 05:30 - 26.06.2021 05:45,470,421,
26.06.2021 05:45 - 26.06.2021 06:00,791,810,
26.06.2021 06:00 - 26.06.2021 06:15,1250,1365,
26.06.2021 06:15 - 26.06.2021 06:30,1887,2056,
26.06.2021 06:30 - 26.06.2021 06:45,2682,2916,
26.06.2021 06:45 - 26.06.2021 07:00,3648,3966,
26.06.2021 07:00 - 26.06.2021 07:15,4760,5136,
26.06.2021 07:15 - 26.06.2021 07:30,6012,6368,
26.06.2021 07:30 - 26.06.2021 07:45,7381,7799,
26.06.2021 07:45 - 26.06.2021 08:00,8831,9246,
26.06.2021 08:00 - 26.06.2021 08:15,10372,10788,
26.06.2021 08:15 - 26.06.2021 08:30,11975,12407,
26.06.2021 08:30 - 26.06.2021 08:45,13636,13979,
26.06.2021 08:45 - 26.06.2021 09:00,15268,15544,
26.06.2021 09:00 - 26.06.2021 09:15,16841,17152,
26.06.2021 09:15 - 26.06.2021 09:30,18329,18729,
26.06.2021 09:30 - 26.06.2021 09:45,19760,20397,
26.06.2021 09:45 - 26.06.2021 10:00,21107,21763,
26.06.2021 10:00 - 26.06.2021 10:15,22367,23012,
26.06.2021 10:15 - 26.06.2021 10:30,23514,24098,
26.06.2021 10:30 - 26.06.2021 10:45,24537,25133,
26.06.2021 10:45 - 26.06.2021 11:00,25421,26135,
26.06.2021 11:00 - 26.06.2021 11:15,26204,27035,
26.06.2021 11:15 - 26.06.2021 11:30,26894,27789,
26.06.2021 11:30 - 26.06.2021 11:45,27498,28159,
26.06.2021 11:45 - 26.06.2021 12:00,27998,28429,
26.06.2021 12:00 - 26.06.2021 12:15,28402,28678,
26.06.2021 12:15 - 26.06.2021 12:30,28688,28930,
26.06.2021 12:30 - 26.06.2021 12:45,28861,29065,
26.06.2021 12:45 - 26.06.2021 13:00,28900,28740,
26.06.2021 13:00 - 26.06.2021 13:15,28874,28454,
26.06.2021 13:15 - 26.06.2021 13:30,28743,28344,
26.06.2021 13:30 - 26.06.2021 13:45,28557,27780,
26.06.2021 13:45 - 26.06.2021 14:00,28322,27660,
26.06.2021 14:00 - 26.06.2021 14:15,28010,27713,
26.06.2021 14:15 - 26.06.2021 14:30,27626,27026,
