MTU (CET/CEST),FC_Solar,Act_Solar,Day_Ahead_Price
04.01.2021 15:00 - 04.01.2021 15:15,901,382,79.25
04.01.2021 15:15 - 04.01.2021 15:30,697,266,76.64
04.01.2021 15:30 - 04.01.2021 15:45,502,163,77.14
04.01.2021 15:45 - 04.01.2021 16:00,341,78,76.98
04.01.2021 16:00 - 04.01.2021 16:15,215,26,82
04.01.2021 16:15 - 04.01.2021 16:30,106,7,99.5
04.01.2021 16:30 - 04.01.2021 16:45,4,1,98.02
04.01.2021 16:45 - 04.01.2021 17:00,0,0,95.01
04.01.2021 17:00 - 04.01.2021 17:15,0,0,77.2
04.01.2021 17:15 - 04.01.2021 17:30,0,0,67.18
04.01.2021 17:30 - 04.01.2021 17:45,0,0,63.19
04.01.2021 17:45 - 04.01.2021 18:00,0,0,55.42
04.01.2021 18:00 - 04.01.2021 18:15,0,0,58.41
04.01.2021 18:15 - 04.01.2021 18:30,0,0,55.65
04.01.2021 18:30 - 04.01.2021 18:45,0,0,52.16
04.01.2021 18:45 - 04.01.2021 19:00,0,0,51.18
04.01.2021 19:00 - 04.01.2021 19:15,0,0,49.51
04.01.2021 19:15 - 04.01.2021 19:30,0,0,48.52
04.01.2021 19:30 - 04.01.2021 19:45,0,0,48.74
04.01.2021 19:45 - 04.01.2021 20:00,0,0,51.43
04.01.2021 20:00 - 04.01.2021 20:15,0,0,61.16
04.01.2021 20:15 - 04.01.2021 20:30,0,0,64.75
04.01.2021 20:30 - 04.01.2021 20:45,0,0,63.77
04.01.2021 20:45 - 04.01.2021 21:00,0,0,62.13
04.01.2021 21:00 - 04.01.2021 21:15,0,0,55.01
04.01.2021 21:15 - 04.01.2021 21:30,0,0,50.66
04.01.2021 21:30 - 04.01.2021 21:45,0,0,49.48
04.01.2021 21:45 - 04.01.2021 22:00,0,0,50.65
04.01.2021 22:00 - 04.01.2021 22:15,0,0,57.7
04.01.2021 22:15 - 04.01.2021 22:30,0,0,65.01
04.01.2021 22:30 - 04.01.2021 22:45,0,0,66.4
04.01.2021 22:45 - 04.01.2021 23:00,0,0,63.76
04.01.2021 23:00 - 04.01.2021 23:15,0,0,57.47
04.01.2021 23:15 - 04.01.2021 23:30,0,0,52.98
04.01.2021 23:30 - 04.01.2021 23:45,0,0,53.2
04.01.2021 23:45 - 05.01.2021 00:00,0,0,50.56
05.01.2021 00:00 - 05.01.2021 00:15,0,0,47.99
05.01.2021 00:15 - 05.01.2021 00:30,0,0,47.74
05.01.2021 00:30 - 05.01.2021 00:45,0,0,47.18
05.01.2021 00:45 - 05.01.2021 01:00,0,0,46.09
05.01.2021 01:00 - 05.01.2021 01:15,0,0,45.8
05.01.2021 01:15 - 05.01.2021 01:30,0,0,45.42
05.01.2021 01:30 - 05.01.2021 01:45,0,0,46.46
05.01.2021 01:45 - 05.01.2021 02:00,0,0,47.64
05.01.2021 02:00 - 05.01.2021 02:15,0,0,47.42
05.01.2021 02:15 - 05.01.2021 02:30,0,0,51.13
05.01.2021 02:30 - 05.01.2021 02:45,0,0,56.5
05.01.2021 02:45 - 05.01.2021 03:00,0,0,59.94
05.01.2021 03:00 - 05.01.2021 03:15,0,0,55.51
05.01.2021 03:15 - 05.01.2021 03:30,0,0,52.82
05.01.2021 03:30 - 05.01.2021 03:45,0,0,49.95
05.01.2021 03:45 - 05.01.2021 04:00,0,0,53.48
05.01.2021 04:00 - 05.01.2021 04:15,0,0,60.6
05.01.2021 04:15 - 05.01.2021 04:30,0,0,67.05
05.01.2021 04:30 - 05.01.2021 04:45,0,0,72
05.01.2021 04:45 - 05.01.2021 05:00,0,0,67.78
05.01.2021 05:00 - 05.01.2021 05:15,0,0,62.45
05.01.2021 05:15 - 05.01.2021 05:30,0,0,56.61
05.01.2021 05:30 - 05.01.2021 05:45,0,0,57.07
05.01.2021 05:45 - 05.01.2021 06:00,0,0,51.34
05.01.2021 06:00 - 05.01.2021 06:15,0,0,50.22
05.01.2021 06:15 - 05.01.2021 06:30,0,0,47.94
05.01.2021 06:30 - 05.01.2021 06:45,0,0,47.67
05.01.2021 06:45 - 05.01.2021 07:00,0,0,46.6
05.01.2021 07:00 - 05.01.2021 07:15,0,0,46.72
05.01.2021 07:15 - 05.01.2021 07:30,0,0,47.58
05.01.2021 07:30 - 05.01.2021 07:45,0,0,61.19
05.01.2021 07:45 - 05.01.2021 08:00,0,1,73.06
05.01.2021 08:00 - 05.01.2021 08:15,1,38,78.92
05.01.2021 08:15 - 05.01.2021 08:30,23,90,75.65
05.01.2021 08:30 - 05.01.2021 08:45,148,126,72.03
05.01.2021 08:45 - 05.01.2021 09:00,239,138,66.39
05.01.2021 09:00 - 05.01.2021 09:15,351,204,60.06
05.01.2021 09:15 - 05.01.2021 09:30,491,283,57.7
